election,state_reg,mimu_stregpcode,mimu_stregname,mimu_dspcode,mimu_dsname,mimu_twpcode,mimu_twname,ser_num,mimu_plcode,cons_num,dstot_eligv,dstot_ticketv,dstot_earlyv,dstot_totalv,dstot_pctv,dstot_invv,dstot_lostv,dstot_invlostv,cand_name,cand_party,dstot_val_ticketv,dstot_val_earlyv,dstot_val_totalv,cand_pctvalv,lu_name,lu_state,lu_consnm,lu_par,lu_gen,lu_byr,lu_age,lu_occ,lu_occrecode,lu_edu,lu_edurecode,lu_deg,lu_hideg,lu_nat,lu_rel,lu_wdvill,lu_urbrur,lu_vlnum,lu_fat,lu_fatnat,lu_fatrel,lu_mot,lu_motnat,lu_motrel
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Chaw Nay Par,Individual,5731,406,6137,0.1649,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Ngwar Phee Htway,National Unity Party (NUP),2377,106,2483,0.0667,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Si Hu Dwae,Individual,1041,45,1086,0.0292,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Lar Myar Paw (a) U Dar Weat,Individual,3791,161,3952,0.1062,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Arr Khi Dar Wu,Individual,7450,420,7870,0.2115,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Arr Si,Union Solidarity and Development Party (USDP),3800,419,4219,0.1134,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,3,,Lisu,57885,35634,3165,38799,67.03,1230,352,1582,U Arr Ti Yaw Han,National League for Democracy (NLD),11019,451,11470,0.3082,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,4,,Rawang,30689,18657,1883,20540,66.93,345,21,366,U Gwan Yein Dee,Union Solidarity and Development Party (USDP),8913,1115,10028,0.4971,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,4,,Rawang,30689,18657,1883,20540,66.93,345,21,366,U Yan Nan Phone,National League for Democracy (NLD),9516,630,10146,0.5029,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Khin Maung Htwe,National Unity Party (NUP),838,58,896,0.0415,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Khin Maung Win,Kayah Unity Democracy Party (K.U.D.P),445,40,485,0.0225,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Sein Oo,Individual,847,152,999,0.0463,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Myo Tint,National Development Party,587,52,639,0.0296,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Myint Thein,Individual,247,47,294,0.0136,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Hla Myo Swe,Union Solidarity and Development Party (USDP),9068,2789,11857,0.5494,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayah,,,,,,,5,,Bamar,29956,18758,3562,22320,74.51,687,53,740,U Thaung Htay,National League for Democracy (NLD),6014,396,6410,0.297,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Kyaw Zaw,Phlone-Sqaw Democratic Party,1759,321,2080,0.0267,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Zaw Min Oo (a) Zaw Ye Htet,Democratic Party for A New Society,446,56,502,0.0065,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Tayza Htut Hlaing Htwe,National League for Democracy (NLD),32899,2793,35692,0.4589,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Tin Ko,Individual,453,73,526,0.0068,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Myat Soe,Individual,324,53,377,0.0048,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Win Tint,Union Solidarity and Development Party (USDP),24345,9434,33779,0.4343,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Aye Ko,Kayin Unity Democratic Party (K.U.D.P),691,85,776,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Aung Myint,National Development Party,2620,342,2962,0.0381,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,6,,Bamar,145214,68477,13284,81761,56.3,3207,776,3983,U Aung Win Hlaing (a) Anyar Thar,National Democratic Force (NDF),957,127,1084,0.0139,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Soe Naing (a) Naing Paw Lar,National Unity Party (NUP),505,54,559,0.0139,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Naing Chit Oo,Mon National Party,7382,687,8069,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Naing Min Soe Thein (a) U Min Soe Thein,Individual,2511,286,2797,0.0693,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Naing Maung Yee,Phlone-Sqaw Democratic Party,241,30,271,0.0067,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Min Ngwe Tun,Union Solidarity and Development Party (USDP),6419,1003,7422,0.1839,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Min Zaw Min Oo,Individual,2054,187,2241,0.0555,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Min Tin Win,National League for Democracy (NLD),12645,1151,13796,0.3419,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Min Tun Tin,All Mon Regions Democracy Party,3196,238,3434,0.0851,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Min Aung Soe,Individual,897,138,1035,0.0256,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,7,,Mon,113034,39405,3816,43221,38.24,2865,2,2867,U Wai Lin,National Development Party,688,42,730,0.0181,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Chit Than,Individual,2337,204,2541,0.1272,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Htwe Maung (a) Khun Shwe Mann,Phlone-Sqaw Democratic Party,759,79,838,0.0419,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Tun Win,Kayin State Democracy and Development Party (KSDDP),266,28,294,0.0147,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Maung Chit,Pao National Organisation (PNO),2452,190,2642,0.1322,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Myo Tint,National League for Democracy (NLD),5683,401,6084,0.3045,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Win Naung,Union Solidarity and Development Party (USDP),3171,554,3725,0.1864,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Than Myint,Individual,3190,394,3584,0.1794,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kayin,,,,,,,8,,Pao,45011,19183,1874,21057,46.78,1069,5,1074,U Khun Aung Khin,National Democratic Force (NDF),251,24,275,0.0138,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,U Kyi Win,Individual,3710,145,3855,0.0387,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,Daw Su Su Lwin,Myanmar Farmer Development Party,791,77,868,0.0087,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,U Sai Kham Shwe,Shan Nationalities Democratic Party (SNDP),3277,180,3457,0.0347,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,U Sai Min Swe,Union Solidarity and Development Party (USDP),14849,960,15809,0.1586,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,Daw Nan Myo Myo Thant,National League for Democracy (NLD),31100,1331,32431,0.3253,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,Daw Hmway Hmway Khin,Tai-Leng Nationalities Development Party (T.N.D.P),31077,1881,32958,0.3306,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,U Aung Khin,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),3143,184,3327,0.0334,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,9,,Shan,138310,100901,5490,106391,76.92,6582,125,6707,U Aung Nyunt,National Unity Party (NUP),6539,440,6979,0.07,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,Dr. Kam Kyin Dar,Chin National Democratic Party,3738,188,3926,0.0505,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U Khwa Htee Yoe,Union Solidarity and Development Party (USDP),5333,698,6031,0.0775,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U Htaung Za Paung,National Unity Party (NUP),2163,105,2268,0.0292,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U No Htan Kap,Chin Progressive Party,14143,564,14707,0.1891,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U Lal Htaung Htan,National League for Democracy (NLD),32520,1467,33987,0.4369,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U Lyan Naung,Chin League for Democracy,6113,262,6375,0.0819,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Sagaing,,,,,,,10,,Chin,138706,78108,3851,81959,59.09,3506,661,4167,U In Khant Go,Zomi Congress for Democracy,9933,565,10498,0.1349,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Tanintharyi,,,,,,,11,,Kayin,61120,37430,1257,38687,63.3,2755,2273,5028,U Saw Lu Kar,National League for Democracy (NLD),19513,573,20086,0.5967,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Tanintharyi,,,,,,,11,,Kayin,61120,37430,1257,38687,63.3,2755,2273,5028,U Saw Har Vee,Kayin People Party,6302,195,6497,0.193,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Tanintharyi,,,,,,,11,,Kayin,61120,37430,1257,38687,63.3,2755,2273,5028,Daw Naw May Dat,Union Solidarity and Development Party (USDP),6652,424,7076,0.2102,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,U Saw Ka Paw Mu,Karen National Party,3605,174,3779,0.0375,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,U Saw Ju Bali San Hla,Kayin People Party,13966,963,14929,0.1483,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,U Saw Nyein Aung,National Unity Party (NUP),4583,1063,5646,0.0561,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,U Saw Aung Zaya,Union Solidarity and Development Party (USDP),12343,1157,13500,0.1341,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,Daw Naw Pwal Say,National League for Democracy (NLD),55337,2764,58101,0.5771,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,Daw Naw Aye Sabai,Myanmar Farmer Development Party,3228,152,3380,0.0336,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Bago,,,,,,,12,,Kayin,152823,100541,7011,107552,70.38,6286,595,6881,Daw Naw Al El Phoe,National Democratic Force (NDF),1249,87,1336,0.0133,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Salai Tin Tun Aung,Asho Chin National Party,8839,721,9560,0.1632,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Salai Hla Tun,National Unity Party (NUP),5035,533,5568,0.0951,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Salai Thein Maung,Union Solidarity and Development Party (USDP),8320,985,9305,0.1589,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Hla Tun,National League for Democracy (NLD),27806,1945,29751,0.508,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Han Tun,Myanmar Farmer Development Party,1608,135,1743,0.0298,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Magway,,,,,,,13,,Chin,78879,57096,4545,61641,78.15,3001,71,3072,U Aye Tun Min,Chin National Democratic Party,2513,129,2642,0.0451,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mandalay,,,,,,,14,,Shan,39599,23059,638,23697,59.84,876,29,905,U Sai Kyaw Zaw,National League for Democracy (NLD),10211,296,10507,0.461,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mandalay,,,,,,,14,,Shan,39599,23059,638,23697,59.84,876,29,905,Dr. Sai Naw Khay,Shan Nationalities League for Democracy (SNLD),6152,116,6268,0.275,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mandalay,,,,,,,14,,Shan,39599,23059,638,23697,59.84,876,29,905,U Sai Maung Hla,Shan Nationalities Democratic Party (SNDP),1616,43,1659,0.0728,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mandalay,,,,,,,14,,Shan,39599,23059,638,23697,59.84,876,29,905,U Sai Win Phay,Tai-Leng Nationalities Development Party (T.N.D.P),409,11,420,0.0184,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mandalay,,,,,,,14,,Shan,39599,23059,638,23697,59.84,876,29,905,U Sai Aung Kyi,Union Solidarity and Development Party (USDP),3776,162,3938,0.1728,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,15,,Bamar,536314,277520,26908,304428,56.76,17459,2514,19973,U Shwe Myint,National League for Democracy (NLD),164663,9660,174323,0.4326,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,15,,Bamar,536314,277520,26908,304428,56.76,17459,2514,19973,U Wunna Soe,Bamar People's Party,7289,678,7967,0.0198,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,15,,Bamar,536314,277520,26908,304428,56.76,17459,2514,19973,U Thet Win,Union Solidarity and Development Party (USDP),85996,16169,102165,0.2535,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,16,,Pao,48411,24039,1090,25129,51.91,1379,207,1586,U Khun Sein Maung,Individual,782,51,833,0.0354,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,16,,Pao,48411,24039,1090,25129,51.91,1379,207,1586,U Khun Shwe Thinn,Pao National Organisation (PNO),7828,295,8123,0.345,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,16,,Pao,48411,24039,1090,25129,51.91,1379,207,1586,Daw San Wint Khaing,National League for Democracy (NLD),10413,382,10795,0.4585,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,16,,Pao,48411,24039,1090,25129,51.91,1379,207,1586,Daw Nan Khin Myo Min,Union Solidarity and Development Party (USDP),3455,337,3792,0.1611,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,17,,Kayin,188097,97835,5714,103549,55.05,7596,950,8546,U Saw Tin Win,Phlone-Sqaw Democratic Party,8671,465,9136,0.0962,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,17,,Kayin,188097,97835,5714,103549,55.05,7596,950,8546,U Saw Ho Shay,Karen National Party,3755,259,4014,0.0423,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,17,,Kayin,188097,97835,5714,103549,55.05,7596,950,8546,Naw Sar Htoo,Kayin People Party,8799,401,9200,0.0968,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,17,,Kayin,188097,97835,5714,103549,55.05,7596,950,8546,U Aung Kyaw Thein,Union Solidarity and Development Party (USDP),26722,2590,29312,0.3085,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Mon,,,,,,,17,,Kayin,188097,97835,5714,103549,55.05,7596,950,8546,U Aung Myint Khaing,National League for Democracy (NLD),41493,1848,43341,0.4562,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Rakhine,,,,,,,18,,Chin,63503,40384,1456,41840,65.89,3715,238,3953,U Ko Ko Naing,Union Solidarity and Development Party (USDP),10316,730,11046,0.2916,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Rakhine,,,,,,,18,,Chin,63503,40384,1456,41840,65.89,3715,238,3953,U Kyi Aung,Asho Chin National Party,4973,210,5183,0.1368,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Rakhine,,,,,,,18,,Chin,63503,40384,1456,41840,65.89,3715,238,3953,U Pone Bway,National League for Democracy (NLD),11286,226,11512,0.3039,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Rakhine,,,,,,,18,,Chin,63503,40384,1456,41840,65.89,3715,238,3953,Daw Mai Su Su Hlaing,Chin League for Democracy,4170,137,4307,0.1137,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Rakhine,,,,,,,18,,Chin,63503,40384,1456,41840,65.89,3715,238,3953,U Than Tun,Chin National Democratic Party,5698,141,5839,0.1541,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Yangon,,,,,,,19,,Kayin,181000,123026,5683,128709,71.11,5298,1202,6500,U Saw Say War,Kayin People Party,20139,934,21073,0.1724,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Yangon,,,,,,,19,,Kayin,181000,123026,5683,128709,71.11,5298,1202,6500,U Saw El Bat,Union Solidarity and Development Party (USDP),22828,1480,24308,0.1989,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Yangon,,,,,,,19,,Kayin,181000,123026,5683,128709,71.11,5298,1202,6500,Daw Pan Thinzar Myo,National League for Democracy (NLD),69392,2749,72141,0.5903,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Yangon,,,,,,,19,,Kayin,181000,123026,5683,128709,71.11,5298,1202,6500,U Aung Myaing,Karen National Party,4506,181,4687,0.0384,,,,,,,,,,,,,,,,,,,,,,,,
