Lookup,Country,"RowIndex
(Caution: Do not change RowIndex number)",House,State_Region,SR_PCode,TS_PCode,Township,MIMU_Constituency_PCode,Constituency_Name,Constituency_Recode,RepEthnicGroup,Voters_TotalEligibleVoters,Voters_TicketVotes,Voters_EarlyVotes,Voters_Total,Voters_Percent,InvalidTicket_TotalInvalid,InvalidTicket_TotalLoss,InvalidTicket_TOTAL,FullName,Gender,PartyID,Party,ValidVote_Constituency_Total_Ticket,ValidVote_Constituency_Total_EarlyVote,ValidVote_Constituency_TOTAL,ValidVote_Candidate_Total_Ticket,ValidVote_Candidate_Total_EarlyVote,ValidVote_Candidate_TOTAL,ValidVote_PercentOfValid,Is_WinningCandidate,DataSource,PartyID,Party,Gender,DOB,Age,Occupation_Recoded,Occupation_Recoded1,Occupation_Recoded2,Education,Education_Recoded,Education_Highest,edhi_recode,Nationality,Religion,Ward_Village,PlaceOfResidence,Father,Father_Nationality,Father_Religion,Mother_Name,Mother_Nationality,Mother_Religion
Amyotha HluttawAyeyarwady RegionU Ngwe Kyi6FALSE,Myanmar,19,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA007

HLA001",7,Amyothar_Ayeyarwady_7,,349427,235746,13959,249705,0.7146,6325,252,6577,U Ngwe Kyi,M,6,Myanmar Farmer Development Party,229412,13716,243128,11137,438,11575,0.0476,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Kyi Win1TRUE,Myanmar,32,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA012

HLA001",12,Amyothar_Ayeyarwady_12,,426799,285887,17472,303359,0.7108,17232,488,17720,U Kyi Win,M,1,National League for Democracy (NLD),268809,16830,285639,142294,7575,149869,0.5247,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,16949,69,Lawyer,Lawyer,Own business,B.A (Law)? LL.B,LL.B,Bachelor,Bachelor,Bamar,Buddhist,"No. (4) Ward, Labutta Township",Urban,U Thaung Shein,Bamar,Buddhist,Daw Kyin Sein,Bamar,Buddhist
Amyotha HluttawAyeyarwady RegionU Zarni Aung6FALSE,Myanmar,33,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA006

HLA001",6,Amyothar_Ayeyarwady_6,,209390,152960,9471,162431,0.7757,6394,76,6470,U Zarni Aung,M,6,Myanmar Farmer Development Party,146491,9470,155961,3939,164,4103,0.0263,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Ohne Than2FALSE,Myanmar,34,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA004

HLA001",4,Amyothar_Ayeyarwady_4,,457669,344964,24590,369554,0.8075,16816,4532,21348,U Ohne Than,M,2,Union Solidarity and Development Party (USDP),323663,24543,348206,113020,12085,125105,0.3593,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Myint Zaw Oo84FALSE,Myanmar,35,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,U Myint Zaw Oo,M,84,National Prosperity Party,303339,19568,322907,1001,45,1046,0.0032,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Maung Maung Ohne1TRUE,Myanmar,36,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA005

HLA001",5,Amyothar_Ayeyarwady_5,,399177,292244,23548,315792,0.7911,14184,107,14291,U Maung Maung Ohne,M,1,National League for Democracy (NLD),279082,22419,301501,168184,10766,178950,0.5935,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,18402,65,Chief Engineer (Oversea Shipping),Chief Engineer (Oversea Shipping),Private company staff,B.E (Mining),B.E ,Bachelor,Bachelor,Bamar,Buddhist,"Bwat Gyi Ward, Thae Phyu Tract",Urban,U Pho Saung,Bamar,Buddhist,Daw Mae Kha,Bamar,Buddhist
Amyotha HluttawAyeyarwady RegionMann Myint Soe10FALSE,Myanmar,37,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA007

HLA001",7,Amyothar_Ayeyarwady_7,,349427,235746,13959,249705,0.7146,6325,252,6577,Mann Myint Soe,M,10,Kayin People Party,229412,13716,243128,7076,510,7586,0.0312,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionNant Khin Aye Oo10FALSE,Myanmar,6,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA009

HLA001",9,Amyothar_Ayeyarwady_9,,319781,236329,17775,254104,0.7946,13757,798,14555,Nant Khin Aye Oo,F,10,Kayin People Party,221793,17756,239549,10554,941,11495,0.048,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Mann Tun Kyaing1TRUE,Myanmar,29,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA006

HLA001",6,Amyothar_Ayeyarwady_6,,209390,152960,9471,162431,0.7757,6394,76,6470,U Mann Tun Kyaing,M,1,National League for Democracy (NLD),146491,9470,155961,76702,4083,80785,0.518,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,18918,64,Education department (Retired),Retired,Retired government servant,B.Sc? B.Ed,B.Sc,Bachelor,Bachelor,Kayin,Buddhist,No. (4) Ward,Urban,U Pan Char,Kayin,Buddhist,Daw Sein Wah ,Kayin,Buddhist
Amyotha HluttawAyeyarwady RegionU Hlaing Oo2FALSE,Myanmar,11,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA012

HLA001",12,Amyothar_Ayeyarwady_12,,426799,285887,17472,303359,0.7108,17232,488,17720,U Hlaing Oo,M,2,Union Solidarity and Development Party (USDP),268809,16830,285639,103987,8181,112168,0.3927,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Wai Lin Oo6FALSE,Myanmar,5,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA002

HLA001",2,Amyothar_Ayeyarwady_2,,346587,267855,17115,284970,0.8222,17611,712,18323,U Wai Lin Oo,M,6,Myanmar Farmer Development Party,249889,16758,266647,11682,635,12317,0.0462,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Khin Maung Yin3FALSE,Myanmar,4,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,U Khin Maung Yin,M,3,National Unity Party (NUP),303339,19568,322907,8197,436,8633,0.0267,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionNant Yupar Than10FALSE,Myanmar,3,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA007

HLA001",7,Amyothar_Ayeyarwady_7,,349427,235746,13959,249705,0.7146,6325,252,6577,Nant Yupar Than,F,10,Kayin People Party,229412,13716,243128,12679,531,13210,0.0543,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Thein Than Tun4FALSE,Myanmar,2,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA010

HLA001",10,Amyothar_Ayeyarwady_10,,368768,231197,12951,244148,0.6621,9418,552,9970,U Thein Than Tun,M,4,National Development Party,221521,12657,234178,3068,116,3184,0.0136,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Saw Kyaw Tun3FALSE,Myanmar,1,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA010

HLA001",10,Amyothar_Ayeyarwady_10,,368768,231197,12951,244148,0.6621,9418,552,9970,U Saw Kyaw Tun,M,3,National Unity Party (NUP),221521,12657,234178,4847,200,5047,0.0216,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionNant May Khalar Phone10FALSE,Myanmar,7,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA002

HLA001",2,Amyothar_Ayeyarwady_2,,346587,267855,17115,284970,0.8222,17611,712,18323,Nant May Khalar Phone,F,10,Kayin People Party,249889,16758,266647,11831,756,12587,0.0472,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDr. Htay Naing2FALSE,Myanmar,8,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA007

HLA001",7,Amyothar_Ayeyarwady_7,,349427,235746,13959,249705,0.7146,6325,252,6577,Dr. Htay Naing,M,2,Union Solidarity and Development Party (USDP),229412,13716,243128,83062,6392,89454,0.3679,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDaw Thin Thin Swe6FALSE,Myanmar,21,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA005

HLA001",5,Amyothar_Ayeyarwady_5,,399177,292244,23548,315792,0.7911,14184,107,14291,Daw Thin Thin Swe,F,6,Myanmar Farmer Development Party,279082,22419,301501,4608,325,4933,0.0164,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Chit San Maung6FALSE,Myanmar,10,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA010

HLA001",10,Amyothar_Ayeyarwady_10,,368768,231197,12951,244148,0.6621,9418,552,9970,U Chit San Maung,M,6,Myanmar Farmer Development Party,221521,12657,234178,7790,278,8068,0.0345,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDr. Myat Myat Ohne Khin2FALSE,Myanmar,20,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA010

HLA001",10,Amyothar_Ayeyarwady_10,,368768,231197,12951,244148,0.6621,9418,552,9970,Dr. Myat Myat Ohne Khin,F,2,Union Solidarity and Development Party (USDP),221521,12657,234178,74906,6045,80951,0.3457,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Htein Win1TRUE,Myanmar,12,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA004

HLA001",4,Amyothar_Ayeyarwady_4,,457669,344964,24590,369554,0.8075,16816,4532,21348,U Htein Win,M,1,National League for Democracy (NLD),323663,24543,348206,200844,11668,212512,0.6103,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,21826,56,Lawyer,Lawyer,Own business,B.A (Law)? LL.B,LL.B,Bachelor,Bachelor,Bamar,Buddhist,Phayar Gyi Ward,Urban,U Ngwe Ya,Bamar,Buddhist,Daw Mya Shin,Bamar,Buddhist
Amyotha HluttawAyeyarwady RegionU Soe Moe1TRUE,Myanmar,13,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,U Soe Moe,M,1,National League for Democracy (NLD),303339,19568,322907,163997,7357,171354,0.5307,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,29067,36,Lawyer,Lawyer,Own business,LL.B? C.B.L? AGTI (MP),AGTI ,Diploma,High School,Bamar,Buddhist,No. (4) Ward,Urban,U Mya Win ,Bamar,Buddhist,Daw Khin Cho Lwin,Banar,Buddhist
Amyotha HluttawAyeyarwady RegionU Khin Yee2FALSE,Myanmar,14,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA006

HLA001",6,Amyothar_Ayeyarwady_6,,209390,152960,9471,162431,0.7757,6394,76,6470,U Khin Yee,M,2,Union Solidarity and Development Party (USDP),146491,9470,155961,58751,4797,63548,0.4075,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Maung Nyo7FALSE,Myanmar,15,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA003

HLA001",3,Amyothar_Ayeyarwady_3,,322658,232930,17928,250858,0.7775,11851,224,12075,U Maung Nyo,M,7,National Democratic Force (NDF),221007,17776,238783,2863,260,3123,0.0131,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDaw Maw Maw Swe3FALSE,Myanmar,16,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA005

HLA001",5,Amyothar_Ayeyarwady_5,,399177,292244,23548,315792,0.7911,14184,107,14291,Daw Maw Maw Swe,F,3,National Unity Party (NUP),279082,22419,301501,7456,490,7946,0.0264,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDaw Nant Than Myint Kyi47FALSE,Myanmar,17,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA003

HLA001",3,Amyothar_Ayeyarwady_3,,322658,232930,17928,250858,0.7775,11851,224,12075,Daw Nant Than Myint Kyi,F,47,People's Party of Myanmar Farmers and Workers,221007,17776,238783,3541,201,3742,0.0157,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Yan Win2FALSE,Myanmar,18,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA008

HLA001",8,Amyothar_Ayeyarwady_8,,374564,287020,13975,300995,0.8036,12551,379,12930,U Yan Win,M,2,Union Solidarity and Development Party (USDP),274090,13975,288065,110596,7532,118128,0.4101,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDaw Khin Cho Mon6FALSE,Myanmar,40,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA003

HLA001",3,Amyothar_Ayeyarwady_3,,322658,232930,17928,250858,0.7775,11851,224,12075,Daw Khin Cho Mon,F,6,Myanmar Farmer Development Party,221007,17776,238783,5214,240,5454,0.0228,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Ohne Hla3FALSE,Myanmar,9,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA011

HLA001",11,Amyothar_Ayeyarwady_11,,363173,238929,11856,250785,0.6905,13676,271,13947,U Ohne Hla,M,3,National Unity Party (NUP),225009,11829,236838,8643,367,9010,0.038,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionSaw Su Tha10FALSE,Myanmar,52,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA006

HLA001",6,Amyothar_Ayeyarwady_6,,209390,152960,9471,162431,0.7757,6394,76,6470,Saw Su Tha,M,10,Kayin People Party,146491,9470,155961,6071,324,6395,0.041,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Phyo Min Oo4FALSE,Myanmar,55,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA012

HLA001",12,Amyothar_Ayeyarwady_12,,426799,285887,17472,303359,0.7108,17232,488,17720,U Phyo Min Oo,M,4,National Development Party,268809,16830,285639,6660,296,6956,0.0244,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionDaw Ei Ei Pyone1TRUE,Myanmar,61,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA008

HLA001",8,Amyothar_Ayeyarwady_8,,374564,287020,13975,300995,0.8036,12551,379,12930,Daw Ei Ei Pyone,F,1,National League for Democracy (NLD),274090,13975,288065,150101,5911,156012,0.5416,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),F,29856,34,Germant Factory,Not identifiable,Not identifiable,B.Sc (Botany),B.Sc (Botany),Bachelor,Bachelor,Myanmar,Buddhist,No. (6) Ward,Urban,U Khin Win,Bamar,Buddhist,Daw Mya Mya Win,Bamar,Buddhist
Amyotha HluttawAyeyarwady RegionDaw Mon Mon Aye4FALSE,Myanmar,38,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA005

HLA001",5,Amyothar_Ayeyarwady_5,,399177,292244,23548,315792,0.7911,14184,107,14291,Daw Mon Mon Aye,F,4,National Development Party,279082,22419,301501,5005,273,5278,0.0175,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Thein Htike2FALSE,Myanmar,60,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA002

HLA001",2,Amyothar_Ayeyarwady_2,,346587,267855,17115,284970,0.8222,17611,712,18323,U Thein Htike,M,2,Union Solidarity and Development Party (USDP),249889,16758,266647,100717,8310,109027,0.4089,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
